"","Provincia","Año_Trimestre","Transacciones"
"245","Cádiz"," 2011_3º","1879"
"246","Cádiz"," 2011_4º","2675"
"247","Cádiz"," 2012_1º","1797"
"248","Cádiz"," 2012_2º","2106"
"249","Cádiz"," 2012_3º","1827"
"250","Cádiz"," 2012_4º","2885"
"251","Cádiz"," 2013_1º","1286"
"252","Cádiz"," 2013_2º","1795"
"253","Cádiz"," 2013_3º","1694"
"254","Cádiz"," 2013_4º","2016"
"255","Cádiz"," 2014_1º","1950"
"256","Cádiz"," 2014_2º","2109"
"257","Cádiz"," 2014_3º","1818"
"258","Cádiz"," 2014_4º","2404"
"259","Cádiz"," 2015_1º","1948"
"260","Cádiz"," 2015_2º","3036"
"261","Cádiz"," 2015_3º","2253"
"262","Cádiz"," 2015_4º","2803"
"263","Cádiz"," 2016_1º","2734"
"264","Cádiz"," 2016_2º","2838"
"265","Cádiz"," 2016_3º","2480"
"266","Cádiz"," 2016_4º","2802"
"267","Cádiz"," 2017_1º","2791"
"268","Cádiz"," 2017_2º","3169"
"269","Cádiz"," 2017_3º","2774"
"270","Cádiz"," 2017_4º","3460"
"271","Cádiz"," 2018_1º","3153"
"272","Cádiz"," 2018_2º","3992"
"273","Cádiz"," 2018_3º","3431"
"274","Cádiz"," 2018_4º","3828"
"275","Cádiz"," 2019_1º","3645"
"276","Cádiz"," 2019_2º","3721"
"277","Cádiz"," 2019_3º","3324"
"278","Cádiz"," 2019_4º","4207"
"279","Cádiz"," 2020_1º","3049"
"280","Cádiz"," 2020_2º","2115"
"281","Cádiz"," 2020_3º","3307"
"282","Cádiz"," 2020_4º","4062"
"283","Cádiz"," 2021_1º","3671"
"284","Cádiz"," 2021_2º","5196"
"285","Cádiz"," 2021_3º","4329"
"286","Cádiz"," 2021_4º","5158"
"287","Cádiz"," 2022_1º","4394"
"288","Cádiz"," 2022_2º","5067"
"289","Cádiz"," 2022_3º","4338"
"290","Cádiz"," 2022_4º","4666"
"291","Cádiz"," 2023_1º","4017"
"292","Cádiz"," 2023_2 (**)","4375"
"293","Cádiz"," 2004_1º","4944"
"294","Cádiz"," 2004_2º","5756"
"295","Cádiz"," 2004_3º","5051"
"296","Cádiz"," 2004_4º","5314"
"297","Cádiz"," 2005_1º","5477"
"298","Cádiz"," 2005_2º","6602"
"299","Cádiz"," 2005_3º","5607"
"300","Cádiz"," 2005_4º","6661"
"301","Cádiz"," 2006_1º","6185"
"302","Cádiz"," 2006_2º","6476"
"303","Cádiz"," 2006_3º","6052"
"304","Cádiz"," 2006_4º","5855"
"305","Cádiz"," 2007_1º","6535"
"306","Cádiz"," 2007_2º","6874"
"307","Cádiz"," 2007_3º","5654"
"308","Cádiz"," 2007_4º","5351"
"309","Cádiz"," 2008_1º","4506"
"310","Cádiz"," 2008_2º","4150"
"311","Cádiz"," 2008_3º","3180"
"312","Cádiz"," 2008_4º","3196"
"313","Córdoba"," 2009_1º","1454"
"314","Córdoba"," 2009_2º","1703"
"315","Córdoba"," 2009_3º","1303"
"316","Córdoba"," 2009_4º","1887"
"317","Córdoba"," 2010_1º","1297"
"318","Córdoba"," 2010_2º","1947"
"319","Córdoba"," 2010_3º","995"
"320","Córdoba"," 2010_4º","2026"
"321","Córdoba"," 2011_1º","979"
"322","Córdoba"," 2011_2º","1192"
"323","Córdoba"," 2011_3º","1045"
"324","Córdoba"," 2011_4º","1374"
"325","Córdoba"," 2012_1º","834"
"326","Córdoba"," 2012_2º","1098"
"327","Córdoba"," 2012_3º","1125"
"328","Córdoba"," 2012_4º","1839"
"329","Córdoba"," 2013_1º","658"
"330","Córdoba"," 2013_2º","1008"
"331","Córdoba"," 2013_3º","859"
"332","Córdoba"," 2013_4º","1111"
"333","Córdoba"," 2014_1º","930"
"334","Córdoba"," 2014_2º","1079"
"335","Córdoba"," 2014_3º","927"
"336","Córdoba"," 2014_4º","1311"
"337","Córdoba"," 2015_1º","1039"
"338","Córdoba"," 2015_2º","1225"
"339","Córdoba"," 2015_3º","1116"
"340","Córdoba"," 2015_4º","1386"
"341","Córdoba"," 2016_1º","1316"
"342","Córdoba"," 2016_2º","1372"
"343","Córdoba"," 2016_3º","1081"
"344","Córdoba"," 2016_4º","1478"
"345","Córdoba"," 2017_1º","1420"
"346","Córdoba"," 2017_2º","1727"
"347","Córdoba"," 2017_3º","1319"
"348","Córdoba"," 2017_4º","1736"
"349","Córdoba"," 2018_1º","1659"
"350","Córdoba"," 2018_2º","2065"
"351","Córdoba"," 2018_3º","1535"
"352","Córdoba"," 2018_4º","1807"
"353","Córdoba"," 2019_1º","1786"
"354","Córdoba"," 2019_2º","2013"
"355","Córdoba"," 2019_3º","1680"
"356","Córdoba"," 2019_4º","1836"
"357","Córdoba"," 2020_1º","1478"
"358","Córdoba"," 2020_2º","1145"
"359","Córdoba"," 2020_3º","2002"
"360","Córdoba"," 2020_4º","2222"
"361","Córdoba"," 2021_1º","1977"
"362","Córdoba"," 2021_2º","2494"
"363","Córdoba"," 2021_3º","2136"
"364","Córdoba"," 2021_4º","2515"
"365","Córdoba"," 2022_1º","2338"
"366","Córdoba"," 2022_2º","2447"
"367","Córdoba"," 2022_3º","2138"
"368","Córdoba"," 2022_4º","2362"
"369","Córdoba"," 2023_1º","2379"
"370","Córdoba"," 2023_2 (**)","2391"
"371","Córdoba"," 2004_1º","2647"
"372","Córdoba"," 2004_2º","3103"
"373","Córdoba"," 2004_3º","2414"
"374","Córdoba"," 2004_4º","2921"
"375","Córdoba"," 2005_1º","2164"
"376","Córdoba"," 2005_2º","2363"
"377","Córdoba"," 2005_3º","2180"
"378","Córdoba"," 2005_4º","2636"
"379","Córdoba"," 2006_1º","2399"
"380","Córdoba"," 2006_2º","2868"
"381","Córdoba"," 2006_3º","2858"
"382","Córdoba"," 2006_4º","3343"
"383","Córdoba"," 2007_1º","3298"
"384","Córdoba"," 2007_2º","3359"
"385","Córdoba"," 2007_3º","2516"
"386","Córdoba"," 2007_4º","2758"
"387","Córdoba"," 2008_1º","2143"
"388","Córdoba"," 2008_2º","2500"
"389","Córdoba"," 2008_3º","2044"
"390","Córdoba"," 2008_4º","1719"
"391","Granada"," 2009_1º","2845"
"392","Granada"," 2009_2º","2876"
"393","Granada"," 2009_3º","2575"
"394","Granada"," 2009_4º","2770"
"395","Granada"," 2010_1º","2128"
"396","Granada"," 2010_2º","3229"
"397","Granada"," 2010_3º","1647"
"398","Granada"," 2010_4º","3160"
"399","Granada"," 2011_1º","1821"
"400","Granada"," 2011_2º","2099"
"401","Granada"," 2011_3º","1685"
"402","Granada"," 2011_4º","2005"
"403","Granada"," 2012_1º","1435"
"404","Granada"," 2012_2º","1984"
"405","Granada"," 2012_3º","1655"
"406","Granada"," 2012_4º","2688"
"407","Granada"," 2013_1º","1135"
"408","Granada"," 2013_2º","1576"
"409","Granada"," 2013_3º","1509"
"410","Granada"," 2013_4º","1752"
"411","Granada"," 2014_1º","1501"
"412","Granada"," 2014_2º","1976"
"413","Granada"," 2014_3º","1558"
"414","Granada"," 2014_4º","2055"
"415","Granada"," 2015_1º","1635"
"416","Granada"," 2015_2º","2065"
"417","Granada"," 2015_3º","1859"
"418","Granada"," 2015_4º","2337"
"419","Granada"," 2016_1º","1929"
"420","Granada"," 2016_2º","2247"
"421","Granada"," 2016_3º","1895"
"422","Granada"," 2016_4º","2469"
"423","Granada"," 2017_1º","2319"
"424","Granada"," 2017_2º","2872"
"425","Granada"," 2017_3º","2388"
"426","Granada"," 2017_4º","2879"
"427","Granada"," 2018_1º","2699"
"428","Granada"," 2018_2º","3201"
"429","Granada"," 2018_3º","2653"
"430","Granada"," 2018_4º","2938"
"431","Granada"," 2019_1º","3044"
"432","Granada"," 2019_2º","3275"
"433","Granada"," 2019_3º","2553"
"434","Granada"," 2019_4º","3203"
"435","Granada"," 2020_1º","2391"
"436","Granada"," 2020_2º","1781"
"437","Granada"," 2020_3º","2842"
"438","Granada"," 2020_4º","3019"
"439","Granada"," 2021_1º","2927"
"440","Granada"," 2021_2º","3734"
"441","Granada"," 2021_3º","3398"
"442","Granada"," 2021_4º","4359"
"443","Granada"," 2022_1º","3723"
"444","Granada"," 2022_2º","4437"
"445","Granada"," 2022_3º","3702"
"446","Granada"," 2022_4º","4029"
"447","Granada"," 2023_1º","3471"
"448","Granada"," 2023_2 (**)","3590"
"449","Granada"," 2004_1º","2200"
"450","Granada"," 2004_2º","3278"
"451","Granada"," 2004_3º","3128"
"452","Granada"," 2004_4º","3094"
"453","Granada"," 2005_1º","2382"
"454","Granada"," 2005_2º","3358"
"455","Granada"," 2005_3º","3486"
"456","Granada"," 2005_4º","3701"
"457","Granada"," 2006_1º","3324"
"458","Granada"," 2006_2º","4281"
"459","Granada"," 2006_3º","4535"
"460","Granada"," 2006_4º","4336"
"461","Granada"," 2007_1º","4861"
"462","Granada"," 2007_2º","5350"
"463","Granada"," 2007_3º","4389"
"464","Granada"," 2007_4º","4793"
"465","Granada"," 2008_1º","4096"
"466","Granada"," 2008_2º","3784"
"467","Granada"," 2008_3º","3008"
"468","Granada"," 2008_4º","3001"
"469","Huelva"," 2009_1º","1413"
"470","Huelva"," 2009_2º","1333"
"471","Huelva"," 2009_3º","1147"
"472","Huelva"," 2009_4º","1576"
"473","Huelva"," 2010_1º","1527"
"474","Huelva"," 2010_2º","1827"
"475","Huelva"," 2010_3º","1104"
"476","Huelva"," 2010_4º","1867"
"477","Huelva"," 2011_1º","1014"
"478","Huelva"," 2011_2º","1366"
"479","Huelva"," 2011_3º","1149"
"480","Huelva"," 2011_4º","1338"
"481","Huelva"," 2012_1º","1022"
"482","Huelva"," 2012_2º","1058"
"483","Huelva"," 2012_3º","1015"
"484","Huelva"," 2012_4º","1612"
"485","Huelva"," 2013_1º","635"
"486","Huelva"," 2013_2º","1087"
"487","Huelva"," 2013_3º","920"
"488","Huelva"," 2013_4º","983"
"489","Huelva"," 2014_1º","901"
"490","Huelva"," 2014_2º","1024"
"491","Huelva"," 2014_3º","915"
"492","Huelva"," 2014_4º","996"
"493","Huelva"," 2015_1º","925"
"494","Huelva"," 2015_2º","1175"
"495","Huelva"," 2015_3º","987"
"496","Huelva"," 2015_4º","1131"
"497","Huelva"," 2016_1º","992"
"498","Huelva"," 2016_2º","1229"
"499","Huelva"," 2016_3º","1024"
"500","Huelva"," 2016_4º","1240"
"501","Huelva"," 2017_1º","1150"
"502","Huelva"," 2017_2º","1366"
"503","Huelva"," 2017_3º","1233"
"504","Huelva"," 2017_4º","1332"
"505","Huelva"," 2018_1º","1286"
"506","Huelva"," 2018_2º","2008"
"507","Huelva"," 2018_3º","1447"
"508","Huelva"," 2018_4º","1767"
"509","Huelva"," 2019_1º","1523"
"510","Huelva"," 2019_2º","1693"
"511","Huelva"," 2019_3º","1321"
"512","Huelva"," 2019_4º","1641"
"513","Huelva"," 2020_1º","1411"
"514","Huelva"," 2020_2º","898"
"515","Huelva"," 2020_3º","1629"
"516","Huelva"," 2020_4º","1907"
"517","Huelva"," 2021_1º","1703"
"518","Huelva"," 2021_2º","2365"
"519","Huelva"," 2021_3º","2101"
"520","Huelva"," 2021_4º","2390"
"521","Huelva"," 2022_1º","1997"
"522","Huelva"," 2022_2º","2358"
"523","Huelva"," 2022_3º","1913"
"524","Huelva"," 2022_4º","1885"
"525","Huelva"," 2023_1º","1803"
"526","Huelva"," 2023_2 (**)","2041"
"527","Huelva"," 2004_1º","2987"
"528","Huelva"," 2004_2º","3511"
"529","Huelva"," 2004_3º","2604"
"530","Huelva"," 2004_4º","2787"
"531","Huelva"," 2005_1º","2657"
"532","Huelva"," 2005_2º","3146"
"533","Huelva"," 2005_3º","2520"
"534","Huelva"," 2005_4º","2959"
"535","Huelva"," 2006_1º","2890"
"536","Huelva"," 2006_2º","3160"
"537","Huelva"," 2006_3º","2710"
"538","Huelva"," 2006_4º","2827"
"539","Huelva"," 2007_1º","3128"
"540","Huelva"," 2007_2º","3071"
"541","Huelva"," 2007_3º","2775"
"542","Huelva"," 2007_4º","2669"
"543","Huelva"," 2008_1º","2291"
"544","Huelva"," 2008_2º","2250"
"545","Huelva"," 2008_3º","2032"
"546","Huelva"," 2008_4º","1890"
"547","Jaén"," 2009_1º","1310"
"548","Jaén"," 2009_2º","1414"
"549","Jaén"," 2009_3º","1088"
"550","Jaén"," 2009_4º","1283"
"551","Jaén"," 2010_1º","1056"
"552","Jaén"," 2010_2º","1398"
"553","Jaén"," 2010_3º","898"
"554","Jaén"," 2010_4º","1707"
"555","Jaén"," 2011_1º","872"
"556","Jaén"," 2011_2º","947"
"557","Jaén"," 2011_3º","953"
"558","Jaén"," 2011_4º","1148"
"559","Jaén"," 2012_1º","869"
"560","Jaén"," 2012_2º","908"
"561","Jaén"," 2012_3º","705"
"562","Jaén"," 2012_4º","1291"
"563","Jaén"," 2013_1º","553"
"564","Jaén"," 2013_2º","641"
"565","Jaén"," 2013_3º","637"
"566","Jaén"," 2013_4º","705"
"567","Jaén"," 2014_1º","688"
"568","Jaén"," 2014_2º","786"
"569","Jaén"," 2014_3º","727"
"570","Jaén"," 2014_4º","1027"
"571","Jaén"," 2015_1º","808"
"572","Jaén"," 2015_2º","933"
"573","Jaén"," 2015_3º","820"
"574","Jaén"," 2015_4º","1070"
"575","Jaén"," 2016_1º","975"
"576","Jaén"," 2016_2º","1098"
"577","Jaén"," 2016_3º","946"
"578","Jaén"," 2016_4º","1193"
"579","Jaén"," 2017_1º","1223"
"580","Jaén"," 2017_2º","1250"
"581","Jaén"," 2017_3º","1085"
"582","Jaén"," 2017_4º","1295"
"583","Jaén"," 2018_1º","1266"
"584","Jaén"," 2018_2º","1445"
"585","Jaén"," 2018_3º","1268"
"586","Jaén"," 2018_4º","1311"
"587","Jaén"," 2019_1º","1410"
"588","Jaén"," 2019_2º","1473"
"589","Jaén"," 2019_3º","1162"
"590","Jaén"," 2019_4º","1590"
"591","Jaén"," 2020_1º","1148"
"592","Jaén"," 2020_2º","896"
"593","Jaén"," 2020_3º","1358"
"594","Jaén"," 2020_4º","1655"
"595","Jaén"," 2021_1º","1473"
"596","Jaén"," 2021_2º","1772"
"597","Jaén"," 2021_3º","1516"
"598","Jaén"," 2021_4º","1803"
"599","Jaén"," 2022_1º","1837"
"600","Jaén"," 2022_2º","1935"
"601","Jaén"," 2022_3º","1720"
"602","Jaén"," 2022_4º","1774"
"603","Jaén"," 2023_1º","1618"
"604","Jaén"," 2023_2 (**)","1739"
"605","Jaén"," 2004_1º","2028"
"606","Jaén"," 2004_2º","2355"
"607","Jaén"," 2004_3º","2048"
"608","Jaén"," 2004_4º","2452"
"609","Jaén"," 2005_1º","1795"
"610","Jaén"," 2005_2º","2318"
"611","Jaén"," 2005_3º","2473"
"612","Jaén"," 2005_4º","2528"
"613","Jaén"," 2006_1º","2279"
"614","Jaén"," 2006_2º","2470"
"615","Jaén"," 2006_3º","2305"
"616","Jaén"," 2006_4º","2710"
"617","Jaén"," 2007_1º","3009"
"618","Jaén"," 2007_2º","2887"
"619","Jaén"," 2007_3º","2320"
"620","Jaén"," 2007_4º","2484"
"621","Jaén"," 2008_1º","2269"
"622","Jaén"," 2008_2º","2280"
"623","Jaén"," 2008_3º","1735"
"624","Jaén"," 2008_4º","1816"
"625","Málaga"," 2009_1º","5066"
"626","Málaga"," 2009_2º","5464"
"627","Málaga"," 2009_3º","5467"
"628","Málaga"," 2009_4º","6227"
"629","Málaga"," 2010_1º","4986"
"630","Málaga"," 2010_2º","7085"
"631","Málaga"," 2010_3º","3914"
"632","Málaga"," 2010_4º","6583"
"633","Málaga"," 2011_1º","3777"
"634","Málaga"," 2011_2º","4552"
"635","Málaga"," 2011_3º","3929"
"636","Málaga"," 2011_4º","5284"
"637","Málaga"," 2012_1º","4055"
"638","Málaga"," 2012_2º","4486"
"639","Málaga"," 2012_3º","4033"
"640","Málaga"," 2012_4º","6766"
"641","Málaga"," 2013_1º","3096"
"642","Málaga"," 2013_2º","5263"
"643","Málaga"," 2013_3º","4774"
"644","Málaga"," 2013_4º","5482"
"645","Málaga"," 2014_1º","4986"
"646","Málaga"," 2014_2º","6349"
"647","Málaga"," 2014_3º","5596"
"648","Málaga"," 2014_4º","6946"
"649","Málaga"," 2015_1º","5559"
"650","Málaga"," 2015_2º","7149"
"651","Málaga"," 2015_3º","6273"
"652","Málaga"," 2015_4º","6817"
"653","Málaga"," 2016_1º","6153"
"654","Málaga"," 2016_2º","7745"
"655","Málaga"," 2016_3º","6389"
"656","Málaga"," 2016_4º","7309"
"657","Málaga"," 2017_1º","7378"
"658","Málaga"," 2017_2º","8761"
"659","Málaga"," 2017_3º","7093"
"660","Málaga"," 2017_4º","8555"
"661","Málaga"," 2018_1º","8188"
"662","Málaga"," 2018_2º","9969"
"663","Málaga"," 2018_3º","7523"
"664","Málaga"," 2018_4º","8761"
